,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,sentence_bow,sentence_bow_lem,sentence_dl
8276,568539689176530944,positive,1.0,,,Delta,,anku,,0,@JetBlue @TSA JetBlue never disappoints !,,2015-02-19 14:36:39 -0800,San Francisco,Pacific Time (US & Canada),jetblue tsa jetblue never disappoints,jetblue tsa jetblue never disappoints,jetblue tsa jetblue never disappoints !
8285,568531076915662848,positive,1.0,,,Delta,,SaraNettesheim,,0,@JetBlue thanks for your help! #jetbluesofly,,2015-02-19 14:02:26 -0800,Boston College,,jetblue thanks help jetbluesofly,jetblue thanks help jetbluesofly,jetblue thanks for your help ! jetbluesofly
8288,568528982439669761,positive,1.0,,,Delta,,angrydesi,,0,"@JetBlue:  Ahoy from a loyal #AllYouCanJetPass holder! When do you anticipate direct US flights to #Havana, #Cuba? (#JetBlue #Vacation)",,2015-02-19 13:54:06 -0800,Everywhere,Eastern Time (US & Canada),jetblue ahoy loyal allyoucanjetpass holder when anticipate direct flights havana cuba jetblue vacation,jetblue ahoy loyal allyoucanjetpass holder when anticipate direct flight havana cuba jetblue vacation,"jetblue : ahoy from a loyal allyoucanjetpass holder ! when do you anticipate direct us flights to havana , cuba ? ( jetblue vacation )"
8294,568524724256444416,positive,1.0,,,Delta,,kbosspotter,,0,"@JetBlue okie doke! Knowing you, you will fix this ;)",,2015-02-19 13:37:11 -0800,Logan International Airport,Atlantic Time (Canada),jetblue okie doke knowing fix,jetblue okie doke knowing fix,"jetblue okie doke ! knowing you , you will fix this ; )"
8304,568502766747971585,positive,1.0,,,Delta,,bwsf93,,0,@JetBlue thanks to Julian at login for getting me onto an earlier flight back to DCA,,2015-02-19 12:09:56 -0800,NOVA,America/New_York,jetblue thanks julian login getting onto earlier flight back dca,jetblue thanks julian login getting onto earlier flight back dca,jetblue thanks to julian at login for getting me onto an earlier flight back to dca
8308,568501157452230656,positive,1.0,,,Delta,,dougorey,,0,Not your fault @JetBlue Social Media Awesome People. I know everyone is working hard to get us in our way.,"[42.36834942, -71.0152744]",2015-02-19 12:03:32 -0800,"Boston, MA",Eastern Time (US & Canada),not fault jetblue social media awesome people know everyone working hard get way,not fault jetblue social medium awesome people know everyone working hard get way,not your fault jetblue social media awesome people . i know everyone is working hard to get us in our way .
8323,568487677114363904,positive,1.0,,,Delta,,smsuconn,,0,@JetBlue we made it safe and sound. Thank you for the safe travels.,,2015-02-19 11:09:58 -0800,"Alexandria, VA",Eastern Time (US & Canada),jetblue made safe sound thank safe travels,jetblue made safe sound thank safe travel,jetblue we made it safe and sound . thank you for the safe travels .
8333,568475439460515840,positive,1.0,,,Delta,,sbgblee,,0,"@JetBlue flight attendant Wendi on Flt 127 on 2/17, Newark to Orlando.  👍👍",,2015-02-19 10:21:21 -0800,,,jetblue flight attendant wendi flt 127 newark orlando,jetblue flight attendant wendi flt 127 newark orlando,"jetblue flight attendant wendi on flt 127 on 2 17 , newark to orlando . 👍👍"
8340,568472330097332225,positive,1.0,,,Delta,,AnthonysEdits,,0,@JetBlue I love you,,2015-02-19 10:08:59 -0800,✖️ || 4/5 || ✖️,Eastern Time (US & Canada),jetblue love,jetblue love,jetblue i love you
8343,568464487931613185,positive,1.0,,,Delta,,305Josec,,0,"@JetBlue be flying soon to NYC on your airline, of all airlines I've flown you're still #1 to me 😊😊😊✈️✈️✈️",,2015-02-19 09:37:50 -0800,"Miami, Florida",,jetblue flying soon nyc airline airlines 've flown 're still 😊😊😊✈️✈️✈️,jetblue flying soon nyc airline airline 've flown 're still 😊😊😊✈️✈️✈️,"jetblue be flying soon to nyc on your airline , of all airlines i 've flown you 're still 1 to me 😊😊😊✈️✈️✈️"
8348,568450407204139008,positive,1.0,,,Delta,,alexnazaryan,,0,"@JetBlue Utah, I think. And thanks!",,2015-02-19 08:41:53 -0800,New York City,Atlantic Time (Canada),jetblue utah think and thanks,jetblue utah think and thanks,"jetblue utah , i think . and thanks !"
8349,568448110256640000,positive,1.0,,,Delta,,smsuconn,,0,@JetBlue thank you!,,2015-02-19 08:32:45 -0800,"Alexandria, VA",Eastern Time (US & Canada),jetblue thank,jetblue thank,jetblue thank you !
8353,568443892569235457,positive,1.0,,,Delta,,leahmg2,,0,@JetBlue great flight and crew! Flight 51 from BOS to MCO,,2015-02-19 08:15:59 -0800,New Jersey,Eastern Time (US & Canada),jetblue great flight crew flight bos mco,jetblue great flight crew flight bos mco,jetblue great flight and crew ! flight 51 from bos to mco
8355,568442965661761536,positive,1.0,,,Delta,,kzone7,,0,@JetBlue That's why I love JetBlue! #truebluemember4life,,2015-02-19 08:12:18 -0800,"Long Island, NY",Eastern Time (US & Canada),jetblue that love jetblue truebluemember4life,jetblue that love jetblue truebluemember4life,jetblue that 's why i love jetblue ! truebluemember4life
8372,568435364349808640,positive,1.0,,,Delta,,MJayRosenberg,,0,"@JetBlue Best airline name ever. Whenever I see it, I want to get on their plane to blue skies &amp; sea. (And they DELIVER on that promise)",,2015-02-19 07:42:06 -0800,"Washington, D.C.",Eastern Time (US & Canada),jetblue best airline name ever whenever see want get plane blue skies amp sea and deliver promise,jetblue best airline name ever whenever see want get plane blue sky amp sea and deliver promise,"jetblue best airline name ever . whenever i see it , i want to get on their plane to blue skies & amp ; sea . ( and they deliver on that promise )"
8373,568434959226179585,positive,1.0,,,Delta,,EricaRhone,,0,@JetBlue is gettin fancy! #Mint #LieFlat Nice work on the menu @Saxonandparole #LobsterMac #BloodyMary #JetSetter http://t.co/zf5wjgtXzT,,2015-02-19 07:40:29 -0800,NYC,Eastern Time (US & Canada),jetblue gettin fancy mint lieflat nice work menu saxonandparole lobstermac bloodymary jetsetter t.co zf5wjgtxzt,jetblue gettin fancy mint lieflat nice work menu saxonandparole lobstermac bloodymary jetsetter t.co zf5wjgtxzt,jetblue is gettin fancy ! mint lieflat nice work on the menu saxonandparole lobstermac bloodymary jetsetter : t.co zf5wjgtxzt
8383,568432405482229760,positive,1.0,,,Delta,,HenRoc_,,0,@JetBlue you guys are lucky I love you,,2015-02-19 07:30:21 -0800,Where the food at,Quito,jetblue guys lucky love,jetblue guy lucky love,jetblue you guys are lucky i love you
8392,568427870055305216,positive,1.0,,,Delta,,AliBessette,,0,@JetBlue thank you will do!! You guy are awesome!,,2015-02-19 07:12:19 -0800,,Quito,jetblue thank you guy awesome,jetblue thank you guy awesome,jetblue thank you will do ! ! you guy are awesome !
8394,568426494554480640,positive,1.0,,,Delta,,Kamari102,,0,@JetBlue definitely!,,2015-02-19 07:06:51 -0800,"Long Island, NY",Eastern Time (US & Canada),jetblue definitely,jetblue definitely,jetblue definitely !
8396,568425693828132864,positive,1.0,,,Delta,,AliBessette,,0,@JetBlue okay awesome! Thank you!,,2015-02-19 07:03:40 -0800,,Quito,jetblue okay awesome thank,jetblue okay awesome thank,jetblue okay awesome ! thank you !
8399,568424725929701376,positive,1.0,,,Delta,,Kamari102,,0,@JetBlue I was so excited when I saw that you fly there! #ionlyflyblue,,2015-02-19 06:59:50 -0800,"Long Island, NY",Eastern Time (US & Canada),jetblue excited saw fly ionlyflyblue,jetblue excited saw fly ionlyflyblue,jetblue i was so excited when i saw that you fly there ! ionlyflyblue
8403,568423278555086848,positive,1.0,,,Delta,,DMakesCakes,,0,@JetBlue thank you!!,,2015-02-19 06:54:05 -0800,"Queens, NY",,jetblue thank,jetblue thank,jetblue thank you ! !
8412,568411980542775296,positive,1.0,,,Delta,,AirlineAdviser,,0,@JetBlue #Bluemanity @AirlineAdviser loves this. Have a great time flying this,,2015-02-19 06:09:11 -0800,,,jetblue bluemanity airlineadviser loves have great time flying,jetblue bluemanity airlineadviser love have great time flying,jetblue bluemanity airlineadviser loves this . have a great time flying this
8417,568397325820956672,positive,1.0,,,Delta,,sbgblee,,0,"@JetBlue yes, with about 20 minutes to spare.  FYI - your employees are amazing.  Keep up the good work!",,2015-02-19 05:10:57 -0800,,,jetblue yes minutes spare fyi employees amazing keep good work,jetblue yes minute spare fyi employee amazing keep good work,"jetblue yes , with about 20 minutes to spare . fyi your employees are amazing . keep up the good work !"
8420,568394078817267712,positive,1.0,,,Delta,,MaybeTonight,,0,@JetBlue OH YEAH!!! great flight down to Mexico with a wonderful crew!! Thank you!!,,2015-02-19 04:58:03 -0800,Bay Shore NY,Eastern Time (US & Canada),jetblue yeah great flight mexico wonderful crew thank,jetblue yeah great flight mexico wonderful crew thank,jetblue oh yeah ! ! ! great flight down to mexico with a wonderful crew ! ! thank you ! !
8425,568385676737167360,positive,1.0,,,Delta,,alikim22,,0,@JetBlue Thanks!,,2015-02-19 04:24:40 -0800,,Eastern Time (US & Canada),jetblue thanks,jetblue thanks,jetblue thanks !
8435,568279415370735618,positive,1.0,,,Delta,,ft_tyman,,0,@JetBlue haha thanks Jetblue👌☺️,,2015-02-18 21:22:25 -0800,NBMA,Eastern Time (US & Canada),jetblue haha thanks jetblue👌☺️,jetblue haha thanks jetblue👌☺️,jetblue haha thanks jetblue👌☺️
8438,568270768989081600,positive,1.0,,,Delta,,NickTypesWords,,8,I know you have a lot of baggage... But i want you to know i really enjoyed being inside you. @JetBlue #Jetbae,,2015-02-18 20:48:03 -0800,Inquiries: CAA  •  Miller PR ,,know lot baggage ... but want know really enjoyed inside jetblue jetbae,know lot baggage ... but want know really enjoyed inside jetblue jetbae,i know you have a lot of baggage ... but i want you to know i really enjoyed being inside you . jetblue jetbae
8440,568260165759307776,positive,1.0,,,Delta,,RachelLCoppola,,0,@JetBlue Thank you so much!  I wasn't sure since in know the limit is 4 ozs. Excited to fly with JetBlue!,,2015-02-18 20:05:55 -0800,LA & Boston,Eastern Time (US & Canada),jetblue thank much n't sure since know limit ozs excited fly jetblue,jetblue thank much n't sure since know limit ozs excited fly jetblue,jetblue thank you so much ! i was n't sure since in know the limit is 4 ozs . excited to fly with jetblue !
8446,568251373189349376,positive,1.0,,,Delta,,MissPeache,,0,@JetBlue thanks to O StBernard for taking time to read through page to find info as supervisor felt to insist tho I showed previous comm,,2015-02-18 19:30:59 -0800,On the road to paradise,Eastern Time (US & Canada),jetblue thanks stbernard taking time read page find info supervisor felt insist tho showed previous comm,jetblue thanks stbernard taking time read page find info supervisor felt insist tho showed previous comm,jetblue thanks to o stbernard for taking time to read through page to find info as supervisor felt to insist tho i showed previous comm
8448,568246340246999041,positive,1.0,,,Delta,,carleycalla,,1,@JetBlue Jua at JFK 'Just Ask' desk was incredibly helpful! Thanks!,,2015-02-18 19:10:59 -0800,"Boston, Massachusetts",Mountain Time (US & Canada),jetblue jua jfk 'just ask desk incredibly helpful thanks,jetblue jua jfk 'just ask desk incredibly helpful thanks,jetblue jua at jfk 'just ask ' desk was incredibly helpful ! thanks !
8462,568240048384151554,positive,1.0,,,Delta,,BellaBriscoe,,0,@JetBlue I will! Thank you!,"[40.64610291, -73.78666687]",2015-02-18 18:45:59 -0800,,,jetblue thank,jetblue thank,jetblue i will ! thank you !
8466,568232942612447232,positive,1.0,,,Delta,,CapeMcMoose,,0,@JetBlue Amazingly Awesome customer service from your reservation agents tonight. Helping correct a mistake. I so love this airline. :),,2015-02-18 18:17:45 -0800,,Arizona,jetblue amazingly awesome customer service reservation agents tonight helping correct mistake love airline,jetblue amazingly awesome customer service reservation agent tonight helping correct mistake love airline,jetblue amazingly awesome customer service from your reservation agents tonight . helping correct a mistake . i so love this airline . : )
8480,568214398474432512,positive,1.0,,,Delta,,RogerSaintange,,0,@JetBlue the best airline in the world,,2015-02-18 17:04:04 -0800,,Pacific Time (US & Canada),jetblue best airline world,jetblue best airline world,jetblue the best airline in the world
8481,568214147025870848,positive,1.0,,,Delta,,RogerSaintange,,0,@JetBlue I would go anywhere JetBlue goes.,,2015-02-18 17:03:04 -0800,,Pacific Time (US & Canada),jetblue would anywhere jetblue goes,jetblue would anywhere jetblue go,jetblue i would go anywhere jetblue goes .
8483,568213769098108928,positive,1.0,,,Delta,,RogerSaintange,,0,@JetBlue wow you guys answer people wow you care I love jet blue,,2015-02-18 17:01:34 -0800,,Pacific Time (US & Canada),jetblue wow guys answer people wow care love jet blue,jetblue wow guy answer people wow care love jet blue,jetblue wow you guys answer people wow you care i love jet blue
8484,568213658117005314,positive,1.0,,,Delta,,Bill_Faulk,,0,@JetBlue thanks. I appreciate your prompt response.,,2015-02-18 17:01:07 -0800,#ManorvilleInExile,Eastern Time (US & Canada),jetblue thanks appreciate prompt response,jetblue thanks appreciate prompt response,jetblue thanks . i appreciate your prompt response .
8515,568198336651649027,positive,1.0,,,Delta,,GenuineJack,,0,@JetBlue I'll pass along the advice. You guys rock!!,,2015-02-18 16:00:14 -0800,Massachusetts,Central Time (US & Canada),jetblue 'll pass along advice you guys rock,jetblue 'll pas along advice you guy rock,jetblue i 'll pass along the advice . you guys rock ! !
8523,568192942088843264,positive,1.0,,,Delta,,TheTechRabbi,,0,"@JetBlue I can't say what airline I am on right now, but I sincerely miss you. #bestairline",,2015-02-18 15:38:48 -0800,Los Angeles,Pacific Time (US & Canada),jetblue n't say airline right sincerely miss bestairline,jetblue n't say airline right sincerely miss bestairline,"jetblue i ca n't say what airline i am on right now , but i sincerely miss you . bestairline"
8531,568187334111289344,positive,1.0,,,Delta,,shypoke1,,0,@JetBlue ok. I'll book JB to JFK then book to ATH. Thank you.,,2015-02-18 15:16:31 -0800,,Pacific Time (US & Canada),jetblue 'll book jfk book ath thank,jetblue 'll book jfk book ath thank,jetblue ok . i 'll book jb to jfk then book to ath . thank you .
8539,568178422175948801,positive,1.0,,,Delta,,TranmereStu,,0,"@JetBlue I flew to San Francisco from Fort Lauderdale with you last year, had a fantastic time so would like to go back !",,2015-02-18 14:41:06 -0800,Wirral England,,jetblue flew san francisco fort lauderdale last year fantastic time would like back,jetblue flew san francisco fort lauderdale last year fantastic time would like back,"jetblue i flew to san francisco from fort lauderdale with you last year , had a fantastic time so would like to go back !"
8547,568173938292985858,positive,1.0,,,Delta,,unverkate,,0,".@JetBlue thx for confirming! Again, yr team is awesome. Thanks for the prompt &amp; helpful response! Cheers to less snow in everyone's future",,2015-02-18 14:23:17 -0800,PHL,,jetblue thx confirming again team awesome thanks prompt amp helpful response cheers less snow everyone future,jetblue thx confirming again team awesome thanks prompt amp helpful response cheer le snow everyone future,". jetblue thx for confirming ! again , yr team is awesome . thanks for the prompt & amp ; helpful response ! cheers to less snow in everyone 's future"
8549,568173309747048448,positive,1.0,,,Delta,,nonprofitnicole,,0,@JetBlue What a great idea! #cometoAustin,,2015-02-18 14:20:47 -0800,"Austin, Texas",Central Time (US & Canada),jetblue what great idea cometoaustin,jetblue what great idea cometoaustin,jetblue what a great idea ! cometoaustin
8550,568172923531481088,positive,1.0,,,Delta,,ft_tyman,,0,@JetBlue I would go to Las Vegas. It is gorgeous and I go there every year and I fly with you guys Vegas is gorgeous &amp; so much to do there.🌴,,2015-02-18 14:19:15 -0800,NBMA,Eastern Time (US & Canada),jetblue would las vegas gorgeous every year fly guys vegas gorgeous amp much there.🌴,jetblue would la vega gorgeous every year fly guy vega gorgeous amp much there.🌴,jetblue i would go to las vegas . it is gorgeous and i go there every year and i fly with you guys vegas is gorgeous & amp ; so much to do there.🌴
8553,568172386903851008,positive,1.0,,,Delta,,MarissaBreton,,0,@JetBlue just DMed. thanks so much for addressing this so quickly.,,2015-02-18 14:17:07 -0800,Boston,Eastern Time (US & Canada),jetblue dmed thanks much addressing quickly,jetblue dmed thanks much addressing quickly,jetblue just dmed . thanks so much for addressing this so quickly .
8554,568171002208886784,positive,1.0,,,Delta,,HAbbott4,,0,@JetBlue Done! Also looks like you opened some up on my flight to Vegas on Sunday! 💙,,2015-02-18 14:11:37 -0800,NY,Eastern Time (US & Canada),jetblue done also looks like opened flight vegas sunday,jetblue done also look like opened flight vega sunday,jetblue done ! also looks like you opened some up on my flight to vegas on sunday ! 💙
8569,568157857151102976,positive,1.0,,,Delta,,kbosspotter,,0,@JetBlue BEST SEAT ON A E190 to board early. READY. SET. GO!,,2015-02-18 13:19:23 -0800,Logan International Airport,Atlantic Time (Canada),jetblue best seat e190 board early ready set,jetblue best seat e190 board early ready set,jetblue best seat on a e190 to board early . ready . set . go !
8572,568156758025187329,positive,1.0,,,Delta,,NickTypesWords,,1,@JetBlue I'm all set. About to fly. Not bad for a first date with a giant metal bird machine. She even brought snacks.,,2015-02-18 13:15:01 -0800,Inquiries: CAA  •  Miller PR ,,jetblue set about fly not bad first date giant metal bird machine she even brought snacks,jetblue set about fly not bad first date giant metal bird machine she even brought snack,jetblue i 'm all set . about to fly . not bad for a first date with a giant metal bird machine . she even brought snacks .
8574,568155933832044544,positive,1.0,,,Delta,,thedanband,,0,@JetBlue okay. The new screens are laptop-large &amp; real nice &amp; the wifi is appreciated. Thanks god for this tiny lil man in the middle seat.,,2015-02-18 13:11:45 -0800,New York City,Pacific Time (US & Canada),jetblue okay the new screens laptop large amp real nice amp wifi appreciated thanks god tiny lil man middle seat,jetblue okay the new screen laptop large amp real nice amp wifi appreciated thanks god tiny lil man middle seat,jetblue okay . the new screens are laptop large & amp ; real nice & amp ; the wifi is appreciated . thanks god for this tiny lil man in the middle seat .
8579,568152534507855872,positive,1.0,,,Delta,,NickTypesWords,,0,"@JetBlue incidentally, Sheila at JFK deserves a raise because she's awesome.",,2015-02-18 12:58:14 -0800,Inquiries: CAA  •  Miller PR ,,jetblue incidentally sheila jfk deserves raise awesome,jetblue incidentally sheila jfk deserves raise awesome,"jetblue incidentally , sheila at jfk deserves a raise because she 's awesome ."
8581,568149912665198592,positive,1.0,,,Delta,,NickTypesWords,,0,@JetBlue i deleted that tweet because one of your wonderful employees swooped in to help--faith restored. You are one of the good ones. 👍,,2015-02-18 12:47:49 -0800,Inquiries: CAA  •  Miller PR ,,jetblue deleted tweet one wonderful employees swooped help faith restored you one good ones,jetblue deleted tweet one wonderful employee swooped help faith restored you one good one,jetblue i deleted that tweet because one of your wonderful employees swooped in to help faith restored . you are one of the good ones . 👍
8598,568128390487789568,positive,1.0,,,Delta,,GnarlsGnarley,,0,@JetBlue thanks. Line moved quick. Already done.,,2015-02-18 11:22:18 -0800,The Suite Lounge,Eastern Time (US & Canada),jetblue thanks line moved quick already done,jetblue thanks line moved quick already done,jetblue thanks . line moved quick . already done .
8604,568124733851443200,positive,1.0,,,Delta,,tktarzan,,0,@JetBlue their names are both Angel (seriously - how cool is that!). Truly FANTASTIC service!,,2015-02-18 11:07:46 -0800,,Hawaii,jetblue names angel seriously cool truly fantastic service,jetblue name angel seriously cool truly fantastic service,jetblue their names are both angel ( seriously how cool is that ! ) . truly fantastic service !
8607,568122440934658048,positive,1.0,,,Delta,,khealy8834,,0,@JetBlue thank you :-),,2015-02-18 10:58:39 -0800,"Miami, FL",Atlantic Time (Canada),jetblue thank,jetblue thank,jetblue thank you : )
8608,568118442454355968,positive,1.0,,,Delta,,MaxwellAMooney,,0,@JetBlue thanks!,,2015-02-18 10:42:46 -0800,"Mill Creek, WA",Pacific Time (US & Canada),jetblue thanks,jetblue thanks,jetblue thanks !
8609,568116088631791616,positive,1.0,,,Delta,,MaxwellAMooney,,0,"@JetBlue also. Emergency exit seats. 6'2"" and that's a huge win.",,2015-02-18 10:33:25 -0800,"Mill Creek, WA",Pacific Time (US & Canada),jetblue also emergency exit seats huge win,jetblue also emergency exit seat huge win,jetblue also . emergency exit seats . 6 ' 2 '' and that 's a huge win .
8610,568115928044404736,positive,1.0,,,Delta,,MaxwellAMooney,,0,"@JetBlue friendly, engaging, personable, handled clarifying questions about baggage fees well, and took an interest in what I was doing.",,2015-02-18 10:32:46 -0800,"Mill Creek, WA",Pacific Time (US & Canada),jetblue friendly engaging personable handled clarifying questions baggage fees well took interest,jetblue friendly engaging personable handled clarifying question baggage fee well took interest,"jetblue friendly , engaging , personable , handled clarifying questions about baggage fees well , and took an interest in what i was doing ."
8613,568115075266973696,positive,1.0,,,Delta,,MaxwellAMooney,,0,"@JetBlue hey, so, Dre at Seatac check in needs a raise, stat. Dude gave me amazing customer service and made me feel valued. 👍",,2015-02-18 10:29:23 -0800,"Mill Creek, WA",Pacific Time (US & Canada),jetblue hey dre seatac check needs raise stat dude gave amazing customer service made feel valued,jetblue hey dre seatac check need raise stat dude gave amazing customer service made feel valued,"jetblue hey , so , dre at seatac check in needs a raise , stat . dude gave me amazing customer service and made me feel valued . 👍"
8628,568098794031714304,positive,1.0,,,Delta,,IrenePesoDoE,,0,@JetBlue is the greatest airline ever 💕✈️💺 #TrueBluePoints #jetbluemember,,2015-02-18 09:24:41 -0800,,Eastern Time (US & Canada),jetblue greatest airline ever 💕✈️💺 truebluepoints jetbluemember,jetblue greatest airline ever 💕✈️💺 truebluepoints jetbluemember,jetblue is the greatest airline ever 💕✈️💺 truebluepoints jetbluemember
8629,568098769847218177,positive,1.0,,,Delta,,jpals32,,1,@JetBlue 's free wifi on board is the best thing that's happened since sliced bread,,2015-02-18 09:24:36 -0800,,Atlantic Time (Canada),jetblue free wifi board best thing happened since sliced bread,jetblue free wifi board best thing happened since sliced bread,jetblue 's free wifi on board is the best thing that 's happened since sliced bread
8632,568095961408507904,positive,1.0,,,Delta,,jos114,,0,@JetBlue Beatriz and Susan. Gate 4 MCO.,,2015-02-18 09:13:26 -0800,New York ,Eastern Time (US & Canada),jetblue beatriz susan gate mco,jetblue beatriz susan gate mco,jetblue beatriz and susan . gate 4 mco .
8633,568095014435229696,positive,1.0,,,Delta,,DJSundog,,0,.@JetBlue handled @0xjared's question like social media pros. Good practice for when our transportation systems are all run by friendly AIs!,,2015-02-18 09:09:40 -0800,"Pescadero, CA",,jetblue handled 0xjared question like social media pros good practice transportation systems run friendly ais,jetblue handled 0xjared question like social medium pro good practice transportation system run friendly ai,. jetblue handled 0xjared 's question like social media pros . good practice for when our transportation systems are all run by friendly ais !
8636,568094548141977600,positive,1.0,,,Delta,,janinenelson009,,0,@JetBlue its a wonderful thing!,,2015-02-18 09:07:49 -0800,"iPhone: 33.761105,-118.193817",Pacific Time (US & Canada),jetblue wonderful thing,jetblue wonderful thing,jetblue its a wonderful thing !
8640,568091845848231937,positive,1.0,,,Delta,,JDesca01,,0,@JetBlue Flight Booking Problems flights for a DC visit for Easter weekend started difficult but ended well with you guys! Big fan here. :),,2015-02-18 08:57:05 -0800,Boston,Eastern Time (US & Canada),jetblue flight booking problems flights visit easter weekend started difficult ended well guys big fan,jetblue flight booking problem flight visit easter weekend started difficult ended well guy big fan,jetblue flight booking problems flights for a dc visit for easter weekend started difficult but ended well with you guys ! big fan here . : )
8644,568087713972236289,positive,1.0,,,Delta,,SullyinVA,,0,@JetBlue had a great flight to Orlando from Hartford a few weeks ago! Was great to get out on time and arrive early!,,2015-02-18 08:40:40 -0800,"Stratford, CT",Eastern Time (US & Canada),jetblue great flight orlando hartford weeks ago was great get time arrive early,jetblue great flight orlando hartford week ago wa great get time arrive early,jetblue had a great flight to orlando from hartford a few weeks ago ! was great to get out on time and arrive early !
8646,568086156899966976,positive,1.0,,,Delta,,jos114,,0,@JetBlue you guys continue to impress. Your crew @ MCO gate 4helped our family with seat issues. #professional,,2015-02-18 08:34:28 -0800,New York ,Eastern Time (US & Canada),jetblue guys continue impress your crew mco gate 4helped family seat issues professional,jetblue guy continue impress your crew mco gate 4helped family seat issue professional,jetblue you guys continue to impress . your crew mco gate 4helped our family with seat issues . professional
8647,568084948948684800,positive,1.0,,,Delta,,cristinaroe,,0,@JetBlue loving the free #wifi and #legroom ✈️ #SeattleBound,,2015-02-18 08:29:40 -0800,Newport Beach,Pacific Time (US & Canada),jetblue loving free wifi legroom seattlebound,jetblue loving free wifi legroom seattlebound,jetblue loving the free wifi and legroom ✈️ seattlebound
8653,568078149231067136,positive,1.0,,,Delta,,Rytroup,,0,@JetBlue anything for you. #flyfi http://t.co/8jceDiKY9U,,2015-02-18 08:02:39 -0800,,Quito,jetblue anything flyfi t.co 8jcediky9u,jetblue anything flyfi t.co 8jcediky9u,jetblue anything for you . flyfi : t.co 8jcediky9u
8659,568068942771695616,positive,1.0,,,Delta,,michaelpweaver,,0,@JetBlue credit to you for replying.  I’ll look forward to hopefully one of those 103 on my flight home tonight :),"[0.0, 0.0]",2015-02-18 07:26:04 -0800,Parkland Fl,Eastern Time (US & Canada),jetblue credit replying look forward hopefully one 103 flight home tonight,jetblue credit replying look forward hopefully one 103 flight home tonight,jetblue credit to you for replying . i ’ ll look forward to hopefully one of those 103 on my flight home tonight : )
8660,568066927723212800,positive,1.0,,,Delta,,SweetLilYou,,0,"@JetBlue Great flight, as always! Thank you to the great crew on flight 475! #travel #jetblue","[28.4261453, -81.2998841]",2015-02-18 07:18:04 -0800,Rhode Island ,Eastern Time (US & Canada),jetblue great flight always thank great crew flight 475 travel jetblue,jetblue great flight always thank great crew flight 475 travel jetblue,"jetblue great flight , as always ! thank you to the great crew on flight 475 ! travel jetblue"
8663,568064005048152065,positive,1.0,,,Delta,,Paul_Conn,,0,@JetBlue you're killing me now. :-) You got me! #smitten #trueblue,,2015-02-18 07:06:27 -0800,New York,Eastern Time (US & Canada),jetblue 're killing you got smitten trueblue,jetblue 're killing you got smitten trueblue,jetblue you 're killing me now . : ) you got me ! smitten trueblue
8665,568056665821413376,positive,1.0,,,Delta,,Paul_Conn,,0,.@JetBlue 4 min response time. I'm impressed! I'm in. It's official.  :-) #trueblue  JetBlue gets social.,,2015-02-18 06:37:17 -0800,New York,Eastern Time (US & Canada),jetblue min response time impressed official trueblue jetblue gets social,jetblue min response time impressed official trueblue jetblue get social,. jetblue 4 min response time . i 'm impressed ! i 'm in . it 's official . : ) trueblue jetblue gets social .
8666,568052101504372737,positive,1.0,,,Delta,,kessler,,0,@JetBlue thanks for listening. Doesn't mean I don't appreciate you!,,2015-02-18 06:19:09 -0800,"New York, NY",Eastern Time (US & Canada),jetblue thanks listening does n't mean n't appreciate,jetblue thanks listening doe n't mean n't appreciate,jetblue thanks for listening . does n't mean i do n't appreciate you !
8668,568045949999661058,positive,1.0,,,Delta,,MyPowerPose,,0,@JetBlue thank you for incredible customer svc from gate to flight. Mint experience is magic.,,2015-02-18 05:54:42 -0800,San Francisco Bay Area,Arizona,jetblue thank incredible customer svc gate flight mint experience magic,jetblue thank incredible customer svc gate flight mint experience magic,jetblue thank you for incredible customer svc from gate to flight . mint experience is magic .
8674,568041225174953985,positive,1.0,,,Delta,,ErinMBarlow,,0,@JetBlue and a HUGE thanks to the crew on flight 1348 who flew in to DCA from SJU Monday night in the snow so we could have a plane!!!,"[18.22245647, -63.00369733]",2015-02-18 05:35:56 -0800,,Eastern Time (US & Canada),jetblue huge thanks crew flight 1348 flew dca sju monday night snow could plane,jetblue huge thanks crew flight 1348 flew dca sju monday night snow could plane,jetblue and a huge thanks to the crew on flight 1348 who flew in to dca from sju monday night in the snow so we could have a plane ! ! !
8676,568041051182616576,positive,1.0,,,Delta,,ErinMBarlow,,0,"@JetBlue planning on it!  Btw, excellent service and crew from DCA through SJU into SXM!!!!!","[18.22245647, -63.00369733]",2015-02-18 05:35:14 -0800,,Eastern Time (US & Canada),jetblue planning btw excellent service crew dca sju sxm,jetblue planning btw excellent service crew dca sju sxm,"jetblue planning on it ! btw , excellent service and crew from dca through sju into sxm ! ! ! ! !"
8677,568039128001937408,positive,1.0,,,Delta,,ErinMBarlow,,0,"@JetBlue why yes, yes it does!!!!  Great trip down!! Thanks for the lift!!!!","[18.22245747, -63.00369895]",2015-02-18 05:27:36 -0800,,Eastern Time (US & Canada),jetblue yes yes great trip thanks lift,jetblue yes yes great trip thanks lift,"jetblue why yes , yes it does ! ! ! ! great trip down ! ! thanks for the lift ! ! ! !"
